DNo,Location,Social Category,Income,upPrim_Girls_socialcat,upPrim_Girls_income
10212,DIBRUGARH,ST,High,4.5168924,95.48311
10212,DIBRUGARH,Overall,High,6.2415943,93.75841
10213,DIMAHASAO,General,High,1.0667262,98.93328
10213,DIMAHASAO,OBC,High,12.024622,87.97538
10213,DIMAHASAO,ST,High,1.3734438,98.62656
10213,DIMAHASAO,Overall,High,17.38221,82.61779
10214,GOALPARA,OBC,High,7.4528036,92.54719
10214,GOALPARA,ST,High,0.48756474,99.51244
10214,GOALPARA,Overall,High,32.190384,67.809616
10215,GOLAGHAT,General,High,46.93725,53.062748
10215,GOLAGHAT,OBC,High,3.1597912,96.84021
10215,GOLAGHAT,SC,High,0.390256,99.60975
10215,GOLAGHAT,ST,High,5.8739614,94.126045
10215,GOLAGHAT,Overall,High,15.378361,84.621635
10217,HOJAI,SC,High,1.2753086,98.724686
10218,JORHAT,General,High,1.605565,98.39443
10218,JORHAT,OBC,High,1.4659576,98.53404
10218,JORHAT,SC,High,18.542305,81.457695
10218,JORHAT,ST,High,29.586388,70.41362
10218,JORHAT,Overall,High,1.156192,98.8438
10219,KAMRUP-METRO,OBC,High,47.141697,52.8583
10219,KAMRUP-METRO,ST,High,4.959599,95.0404
10219,KAMRUP-METRO,Overall,High,8.706795,91.29321
10220,KAMRUP-RURAL,General,High,1.6105888,98.389404
