DNo,Location,Social Category,Income,fact_socialcat,fact_income
10518,KORBA,General,High,1.0785535e-05,99.999985
10518,KORBA,OBC,High,1.3577673e-05,99.999985
10518,KORBA,SC,High,8.7494794e-07,100.0
10518,KORBA,ST,High,6.7752503e-06,99.999985
10518,KORBA,Overall,High,0.0001528799,99.99985
10519,KORIYA,General,High,4.9983087,95.00169
10519,KORIYA,OBC,High,5.5571832e-05,99.99994
10519,KORIYA,SC,High,0.00033651217,99.999664
10519,KORIYA,ST,High,0.014470624,99.98553
10519,KORIYA,Overall,High,6.902532e-06,99.999985
10520,MAHASAMUND,General,High,7.600971e-05,99.99993
10520,MAHASAMUND,OBC,High,2.6046575e-05,99.99998
10520,MAHASAMUND,SC,High,4.0844954e-09,100.0
10520,MAHASAMUND,ST,High,0.06788763,99.93211
10520,MAHASAMUND,Overall,High,0.28994665,99.71005
10521,MUNGELI,General,High,7.5922316e-07,100.0
10521,MUNGELI,OBC,High,0.0009148063,99.999084
10521,MUNGELI,SC,High,0.00010112223,99.99991
10521,MUNGELI,ST,High,0.038492274,99.96151
10521,MUNGELI,Overall,High,0.031879608,99.968124
10522,NARAYANPUR,OBC,High,6.611488e-05,99.99993
10522,NARAYANPUR,SC,High,1.9986435e-05,99.99998
10522,NARAYANPUR,ST,High,0.15883711,99.84116
10523,RAIGARH,General,High,1.8089953e-05,99.99998
